country;year;sex;age;suicides_no;population;suicides/100k pop; gdp_for_year ($) ;gdp_per_capita ($);generation
Austria;2000;male;35-54 years;383;1163122;3293;196,8000000;25922;Boomers
Austria;2000;male;25-34 years;149;622975;2392;196,8000000;25922;Generation X
Austria;2000;female;75+ years;92;394864;233;196,8000000;25922;G.I. Generation
Austria;2000;male;15-24 years;106;485710;2182;196,8000000;25922;Generation X
Austria;2000;female;55-74 years;143;840225;1702;196,8000000;25922;Silent
Austria;2000;female;35-54 years;132;1149412;1148;196,8000000;25922;Boomers
Austria;2000;female;15-24 years;27;469025;576;196,8000000;25922;Generation X
Austria;2000;female;25-34 years;34;617481;551;196,8000000;25922;Generation X
Austria;2000;female;5-14 years;4;461175;87;196,8000000;25922;Millenials
Austria;2000;male;5-14 years;4;484798;83;196,8000000;25922;Millenials
Austria;2001;male;75+ years;151;180006;8389;197,3380000;25848;Silent
Austria;2001;male;55-74 years;309;735296;4202;197,3380000;25848;Silent
Austria;2001;male;35-54 years;377;1193029;316;197,3380000;25848;Boomers
Austria;2001;male;25-34 years;142;604064;2351;197,3380000;25848;Generation X
Austria;2001;female;75+ years;93;404458;2299;197,3380000;25848;Silent
Austria;2001;male;15-24 years;101;488478;2068;197,3380000;25848;Millenials
Austria;2001;female;55-74 years;129;835836;1543;197,3380000;25848;Silent
Austria;2001;female;35-54 years;126;1177652;107;197,3380000;25848;Boomers
Austria;2001;female;25-34 years;41;600540;683;197,3380000;25848;Generation X
Austria;2001;female;15-24 years;18;470456;383;197,3380000;25848;Millenials
Austria;2001;female;5-14 years;1;460720;22;197,3380000;25848;Millenials
Austria;2001;male;5-14 years;1;484025;21;197,3380000;25848;Millenials
Austria;2002;male;75+ years;187;187295;9984;213,3780000;27772;Silent
Austria;2002;male;55-74 years;322;747406;4308;213,3780000;27772;Silent
Austria;2002;male;35-54 years;422;1214866;3474;213,3780000;27772;Boomers
Austria;2002;male;25-34 years;158;586771;2693;213,3780000;27772;Generation X
Austria;2002;male;15-24 years;99;494122;2004;213,3780000;27772;Millenials
Austria;2002;female;75+ years;80;410636;1948;213,3780000;27772;Silent
Austria;2002;female;55-74 years;105;841432;1248;213,3780000;27772;Silent
Austria;2002;female;35-54 years;129;1197653;1077;213,3780000;27772;Boomers
Austria;2002;female;25-34 years;30;583877;514;213,3780000;27772;Generation X
Austria;2002;female;15-24 years;17;475095;358;213,3780000;27772;Millenials
Austria;2002;female;5-14 years;2;460277;43;213,3780000;27772;Millenials
Austria;2002;male;5-14 years;2;483732;41;213,3780000;27772;Millenials
Austria;2003;male;75+ years;177;193846;9131;261,6960000;33889;Silent
Austria;2003;male;55-74 years;308;759680;4054;261,6960000;33889;Silent
Austria;2003;male;35-54 years;371;1231545;3012;261,6960000;33889;Boomers
Austria;2003;male;25-34 years;118;569434;2072;261,6960000;33889;Generation X
Austria;2003;female;75+ years;84;412619;2036;261,6960000;33889;Silent
Austria;2003;male;15-24 years;91;501938;1813;261,6960000;33889;Millenials
Austria;2003;female;55-74 years;102;851030;1199;261,6960000;33889;Silent
Austria;2003;female;35-54 years;141;1213566;1162;261,6960000;33889;Boomers
Austria;2003;female;15-24 years;29;482866;601;261,6960000;33889;Millenials
Austria;2003;female;25-34 years;32;567665;564;261,6960000;33889;Generation X
Austria;2003;male;5-14 years;3;480502;62;261,6960000;33889;Millenials
Austria;2003;female;5-14 years;0;457342;0;261,6960000;33889;Millenials
Austria;2004;male;75+ years;189;201792;9366;300,9040000;38711;Silent
Austria;2004;male;55-74 years;308;771847;399;300,9040000;38711;Silent
Austria;2004;male;35-54 years;347;1248808;2779;300,9040000;38711;Boomers
Austria;2004;male;15-24 years;110;509514;2159;300,9040000;38711;Millenials
Austria;2004;male;25-34 years;120;555892;2159;300,9040000;38711;Generation X
Austria;2004;female;75+ years;73;416777;1752;300,9040000;38711;Silent
Austria;2004;female;55-74 years;118;860913;1371;300,9040000;38711;Silent
Austria;2004;female;35-54 years;107;1231774;869;300,9040000;38711;Boomers
Austria;2004;female;25-34 years;26;554568;469;300,9040000;38711;Generation X
Austria;2004;female;15-24 years;22;491309;448;300,9040000;38711;Millenials
Austria;2004;male;5-14 years;2;476337;42;300,9040000;38711;Millenials
Austria;2004;female;5-14 years;0;453574;0;300,9040000;38711;Millenials
Austria;2005;male;75+ years;166;210054;7903;315,9740000;40367;Silent
Austria;2005;male;55-74 years;331;782050;4232;315,9740000;40367;Silent
Austria;2005;male;35-54 years;364;1266464;2874;315,9740000;40367;Boomers
Austria;2005;female;75+ years;81;421281;1923;315,9740000;40367;Silent
Austria;2005;male;25-34 years;102;548943;1858;315,9740000;40367;Generation X
Austria;2005;male;15-24 years;83;515674;161;315,9740000;40367;Millenials
Austria;2005;female;55-74 years;96;869065;1105;315,9740000;40367;Silent
Austria;2005;female;35-54 years;121;1250028;968;315,9740000;40367;Boomers
Austria;2005;female;25-34 years;33;546238;604;315,9740000;40367;Generation X
Austria;2005;female;15-24 years;18;497688;362;315,9740000;40367;Millenials
Austria;2005;male;5-14 years;3;471447;64;315,9740000;40367;Millenials
Austria;2005;female;5-14 years;1;448529;22;315,9740000;40367;Millenials
Austria;2006;male;75+ years;171;218168;7838;335,9990000;42698;Silent
Austria;2006;male;55-74 years;266;791509;3361;335,9990000;42698;Silent
Austria;2006;male;35-54 years;382;1281251;2981;335,9990000;42698;Boomers
Austria;2006;female;75+ years;81;425747;1903;335,9990000;42698;Silent
Austria;2006;male;25-34 years;103;545467;1888;335,9990000;42698;Generation X
Austria;2006;male;15-24 years;77;517546;1488;335,9990000;42698;Millenials
Austria;2006;female;55-74 years;91;876832;1038;335,9990000;42698;Silent
Austria;2006;female;35-54 years;91;1265873;719;335,9990000;42698;Boomers
Austria;2006;female;25-34 years;18;542011;332;335,9990000;42698;Generation X
Austria;2006;female;15-24 years;16;499388;32;335,9990000;42698;Millenials
Austria;2006;male;5-14 years;1;464213;22;335,9990000;42698;Millenials
Austria;2006;female;5-14 years;0;441264;0;335,9990000;42698;Millenials
Austria;2007;male;75+ years;170;225285;7546;388,6910000;49218;Silent
Austria;2007;male;55-74 years;273;800509;341;388,6910000;49218;Silent
Austria;2007;male;35-54 years;331;1291260;2563;388,6910000;49218;Boomers
Austria;2007;female;75+ years;80;428921;1865;388,6910000;49218;Silent
Austria;2007;male;25-34 years;99;542760;1824;388,6910000;49218;Generation X
Austria;2007;male;15-24 years;93;517817;1796;388,6910000;49218;Millenials
Austria;2007;female;55-74 years;109;885212;1231;388,6910000;49218;Silent
Austria;2007;female;35-54 years;88;1277479;689;388,6910000;49218;Boomers
Austria;2007;female;25-34 years;25;539763;463;388,6910000;49218;Generation X
Austria;2007;female;15-24 years;15;499804;3;388,6910000;49218;Millenials
Austria;2007;male;5-14 years;2;455269;44;388,6910000;49218;Generation Z
Austria;2007;female;5-14 years;0;433193;0;388,6910000;49218;Generation Z
Austria;2008;male;75+ years;200;231083;8655;430,2940000;54294;Silent
Austria;2008;male;55-74 years;276;811538;3401;430,2940000;54294;Silent
Austria;2008;male;35-54 years;340;1295943;2624;430,2940000;54294;Boomers
Austria;2008;female;75+ years;72;430534;1672;430,2940000;54294;Silent
Austria;2008;male;25-34 years;86;542606;1585;430,2940000;54294;Generation X
Austria;2008;male;15-24 years;59;519137;1137;430,2940000;54294;Millenials
Austria;2008;female;55-74 years;82;895882;915;430,2940000;54294;Silent
Austria;2008;female;35-54 years;112;1285210;871;430,2940000;54294;Boomers
Austria;2008;female;15-24 years;18;500763;359;430,2940000;54294;Millenials
Austria;2008;female;25-34 years;18;539635;334;430,2940000;54294;Generation X
Austria;2008;female;5-14 years;2;425776;47;430,2940000;54294;Generation Z
Austria;2008;male;5-14 years;2;447151;45;430,2940000;54294;Generation Z
Austria;2009;male;75+ years;187;235822;793;400,1720000;50356;Silent
Austria;2009;male;55-74 years;279;823727;3387;400,1720000;50356;Silent
Austria;2009;male;35-54 years;332;1297322;2559;400,1720000;50356;Boomers
Austria;2009;male;25-34 years;99;542799;1824;400,1720000;50356;Generation X
Austria;2009;female;75+ years;68;430726;1579;400,1720000;50356;Silent
Austria;2009;male;15-24 years;72;519901;1385;400,1720000;50356;Millenials
Austria;2009;female;55-74 years;103;908213;1134;400,1720000;50356;Silent
Austria;2009;female;35-54 years;101;1289816;783;400,1720000;50356;Boomers
Austria;2009;female;25-34 years;18;539304;334;400,1720000;50356;Generation X
Austria;2009;female;15-24 years;11;501225;219;400,1720000;50356;Millenials
Austria;2009;female;5-14 years;5;418410;12;400,1720000;50356;Generation Z
Austria;2009;male;5-14 years;3;439629;68;400,1720000;50356;Generation Z
Austria;2010;male;75+ years;180;240431;7487;391,8930000;49181;Silent
Austria;2010;male;55-74 years;287;838208;3424;391,8930000;49181;Silent
Austria;2010;male;35-54 years;325;1296607;2507;391,8930000;49181;Generation X
Austria;2010;male;15-24 years;91;518657;1755;391,8930000;49181;Millenials
Austria;2010;male;25-34 years;85;542986;1565;391,8930000;49181;Generation X
Austria;2010;female;75+ years;62;431151;1438;391,8930000;49181;Silent
Austria;2010;female;55-74 years;90;923411;975;391,8930000;49181;Silent
Austria;2010;female;35-54 years;102;1291400;79;391,8930000;49181;Generation X
Austria;2010;female;25-34 years;25;539299;464;391,8930000;49181;Generation X
Austria;2010;female;15-24 years;14;499638;28;391,8930000;49181;Millenials
Austria;2010;male;5-14 years;2;433795;46;391,8930000;49181;Generation Z
Austria;2010;female;5-14 years;1;412838;24;391,8930000;49181;Generation Z
Austria;2011;male;75+ years;196;245207;7993;431,1200000;53923;Silent
Austria;2011;male;55-74 years;276;855700;3225;431,1200000;53923;Boomers
Austria;2011;male;35-54 years;336;1292255;26;431,1200000;53923;Generation X
Austria;2011;male;25-34 years;97;546027;1776;431,1200000;53923;Millenials
Austria;2011;female;75+ years;58;431128;1345;431,1200000;53923;Silent
Austria;2011;male;15-24 years;67;518095;1293;431,1200000;53923;Millenials
Austria;2011;female;55-74 years;113;942311;1199;431,1200000;53923;Boomers
Austria;2011;female;35-54 years;95;1288452;737;431,1200000;53923;Generation X
Austria;2011;female;15-24 years;23;498172;462;431,1200000;53923;Millenials
Austria;2011;female;25-34 years;23;542031;424;431,1200000;53923;Millenials
Austria;2011;male;5-14 years;3;428198;7;431,1200000;53923;Generation Z
Austria;2011;female;5-14 years;1;407570;25;431,1200000;53923;Generation Z
Austria;2012;male;75+ years;189;250032;7559;409,4250000;50979;Silent
Austria;2012;male;55-74 years;298;874391;3408;409,4250000;50979;Boomers
Austria;2012;male;35-54 years;332;1286522;2581;409,4250000;50979;Generation X
Austria;2012;male;25-34 years;99;553047;179;409,4250000;50979;Millenials
Austria;2012;female;75+ years;76;430436;1766;409,4250000;50979;Silent
Austria;2012;male;15-24 years;66;519503;127;409,4250000;50979;Millenials
Austria;2012;female;55-74 years;99;962372;1029;409,4250000;50979;Boomers
Austria;2012;female;35-54 years;87;1283769;678;409,4250000;50979;Generation X
Austria;2012;female;25-34 years;20;547787;365;409,4250000;50979;Millenials
Austria;2012;female;15-24 years;6;497838;121;409,4250000;50979;Millenials
Austria;2012;male;5-14 years;3;422849;71;409,4250000;50979;Generation Z
Austria;2012;female;5-14 years;1;402730;25;409,4250000;50979;Generation Z
Austria;2013;male;75+ years;221;255540;8648;430,0690000;53229;Silent
Austria;2013;male;55-74 years;299;893602;3346;430,0690000;53229;Boomers
Austria;2013;male;35-54 years;317;1282009;2473;430,0690000;53229;Generation X
Austria;2013;female;75+ years;64;431074;1485;430,0690000;53229;Silent
Austria;2013;male;25-34 years;75;563630;1331;430,0690000;53229;Millenials
Austria;2013;female;55-74 years;118;981829;1202;430,0690000;53229;Boomers
Austria;2013;male;15-24 years;54;518852;1041;430,0690000;53229;Millenials
Austria;2013;female;35-54 years;94;1279480;735;430,0690000;53229;Generation X
Austria;2013;female;25-34 years;25;556475;449;430,0690000;53229;Millenials
Austria;2013;female;15-24 years;20;496526;403;430,0690000;53229;Millenials
Austria;2013;female;5-14 years;3;400256;75;430,0690000;53229;Generation Z
Austria;2013;male;5-14 years;1;420342;24;430,0690000;53229;Generation Z
Austria;2014;male;75+ years;206;269625;764;441,8850000;54278;Silent
Austria;2014;male;55-74 years;282;906857;311;441,8850000;54278;Boomers
Austria;2014;male;35-54 years;321;1280204;2507;441,8850000;54278;Generation X
Austria;2014;female;75+ years;77;442472;174;441,8850000;54278;Silent
Austria;2014;male;25-34 years;100;576126;1736;441,8850000;54278;Millenials
Austria;2014;male;15-24 years;79;516580;1529;441,8850000;54278;Millenials
Austria;2014;female;55-74 years;108;993973;1087;441,8850000;54278;Boomers
Austria;2014;female;35-54 years;93;1276047;729;441,8850000;54278;Generation X
Austria;2014;female;25-34 years;29;566622;512;441,8850000;54278;Millenials
Austria;2014;female;15-24 years;17;493605;344;441,8850000;54278;Millenials
Austria;2014;male;5-14 years;2;419646;48;441,8850000;54278;Generation Z
Austria;2014;female;5-14 years;0;399408;0;441,8850000;54278;Generation Z
Austria;2015;male;75+ years;214;290329;7371;382,0660000;46484;Silent
Austria;2015;male;55-74 years;294;915115;3213;382,0660000;46484;Boomers
Austria;2015;male;35-54 years;313;1279822;2446;382,0660000;46484;Generation X
Austria;2015;female;75+ years;70;461676;1516;382,0660000;46484;Silent
Austria;2015;male;25-34 years;78;590968;132;382,0660000;46484;Millenials
Austria;2015;male;15-24 years;61;519646;1174;382,0660000;46484;Millenials
Austria;2015;female;55-74 years;100;998854;1001;382,0660000;46484;Boomers
Austria;2015;female;35-54 years;79;1273034;621;382,0660000;46484;Generation X
Austria;2015;female;15-24 years;19;490742;387;382,0660000;46484;Millenials
Austria;2015;female;25-34 years;21;576661;364;382,0660000;46484;Millenials
Austria;2015;female;5-14 years;1;400831;25;382,0660000;46484;Generation Z
Austria;2015;male;5-14 years;1;421708;24;382,0660000;46484;Generation Z
Austria;2016;male;75+ years;212;307692;689;390,8000000;46976;Silent
Austria;2016;male;55-74 years;290;928992;3122;390,8000000;46976;Boomers
Austria;2016;male;35-54 years;260;1281202;2029;390,8000000;46976;Generation X
Austria;2016;male;25-34 years;86;605922;1419;390,8000000;46976;Millenials
Austria;2016;female;75+ years;61;478267;1275;390,8000000;46976;Silent
Austria;2016;male;15-24 years;58;525977;1103;390,8000000;46976;Millenials
Austria;2016;female;55-74 years;99;1009403;981;390,8000000;46976;Boomers
Austria;2016;female;35-54 years;95;1273241;746;390,8000000;46976;Generation X
Austria;2016;female;15-24 years;22;488020;451;390,8000000;46976;Millenials
Austria;2016;female;25-34 years;18;585913;307;390,8000000;46976;Millenials
Azerbaijan;1990;male;35-54 years;41;587300;698;8,8580060;1439;Silent
Azerbaijan;1990;male;55-74 years;11;306200;359;8,8580060;1439;G.I. Generation
Azerbaijan;1990;male;25-34 years;19;613200;31;8,8580060;1439;Boomers
Azerbaijan;1990;male;15-24 years;16;682700;234;8,8580060;1439;Generation X
Azerbaijan;1990;male;75+ years;1;42900;233;8,8580060;1439;G.I. Generation
Azerbaijan;1990;female;75+ years;2;99200;202;8,8580060;1439;G.I. Generation
Azerbaijan;1990;female;55-74 years;6;389200;154;8,8580060;1439;G.I. Generation
Azerbaijan;1990;female;25-34 years;7;677800;103;8,8580060;1439;Boomers
Azerbaijan;1990;female;35-54 years;6;637700;94;8,8580060;1439;Silent
Azerbaijan;1990;female;15-24 years;4;656800;61;8,8580060;1439;Generation X
Azerbaijan;1990;male;5-14 years;1;750400;13;8,8580060;1439;Generation X
Azerbaijan;1990;female;5-14 years;0;713400;0;8,8580060;1439;Generation X
Azerbaijan;1991;male;75+ years;3;42200;711;8,7923658;1398;G.I. Generation
Azerbaijan;1991;male;55-74 years;22;323700;68;8,7923658;1398;Silent
Azerbaijan;1991;male;25-34 years;29;627800;462;8,7923658;1398;Boomers
Azerbaijan;1991;male;35-54 years;26;597700;435;8,7923658;1398;Boomers
Azerbaijan;1991;male;15-24 years;22;687100;32;8,7923658;1398;Generation X
Azerbaijan;1991;female;35-54 years;11;650100;169;8,7923658;1398;Boomers
Azerbaijan;1991;female;55-74 years;5;406400;123;8,7923658;1398;Silent
Azerbaijan;1991;female;15-24 years;8;653100;122;8,7923658;1398;Generation X
Azerbaijan;1991;female;75+ years;1;99300;101;8,7923658;1398;G.I. Generation
Azerbaijan;1991;female;25-34 years;6;697500;86;8,7923658;1398;Boomers
Azerbaijan;1991;female;5-14 years;1;734600;14;8,7923658;1398;Millenials
Azerbaijan;1991;male;5-14 years;0;771100;0;8,7923658;1398;Millenials
Azerbaijan;1992;male;35-54 years;39;610500;639;4,9913505;784;Boomers
Azerbaijan;1992;male;55-74 years;18;340500;529;4,9913505;784;Silent
Azerbaijan;1992;female;75+ years;5;97200;514;4,9913505;784;G.I. Generation
Azerbaijan;1992;male;75+ years;2;40300;496;4,9913505;784;G.I. Generation
Azerbaijan;1992;male;25-34 years;24;634300;378;4,9913505;784;Boomers
Azerbaijan;1992;male;15-24 years;23;683300;337;4,9913505;784;Generation X
Azerbaijan;1992;female;55-74 years;11;424500;259;4,9913505;784;Silent
Azerbaijan;1992;female;25-34 years;10;702900;142;4,9913505;784;Boomers
Azerbaijan;1992;female;15-24 years;8;643000;124;4,9913505;784;Generation X
Azerbaijan;1992;female;35-54 years;4;662800;6;4,9913505;784;Boomers
Azerbaijan;1992;female;5-14 years;0;746700;0;4,9913505;784;Millenials
Azerbaijan;1992;male;5-14 years;0;784400;0;4,9913505;784;Millenials
Azerbaijan;1993;male;75+ years;3;38900;771;3,9730274;617;G.I. Generation
Azerbaijan;1993;male;55-74 years;17;356800;476;3,9730274;617;Silent
Azerbaijan;1993;female;75+ years;4;96100;416;3,9730274;617;G.I. Generation
Azerbaijan;1993;male;15-24 years;22;677400;325;3,9730274;617;Generation X
Azerbaijan;1993;male;35-54 years;20;628400;318;3,9730274;617;Boomers
Azerbaijan;1993;male;25-34 years;20;636000;314;3,9730274;617;Boomers
Azerbaijan;1993;female;35-54 years;10;681600;147;3,9730274;617;Boomers
Azerbaijan;1993;female;55-74 years;6;443000;135;3,9730274;617;Silent
Azerbaijan;1993;female;25-34 years;9;697000;129;3,9730274;617;Boomers
Azerbaijan;1993;female;15-24 years;6;630200;95;3,9730274;617;Generation X
Azerbaijan;1993;female;5-14 years;1;759300;13;3,9730274;617;Millenials
Azerbaijan;1993;male;5-14 years;1;797900;13;3,9730274;617;Millenials
Azerbaijan;1994;male;55-74 years;10;369000;271;3,3137397;508;Silent
Azerbaijan;1994;male;75+ years;1;37400;267;3,3137397;508;G.I. Generation
Azerbaijan;1994;male;35-54 years;11;651400;169;3,3137397;508;Boomers
Azerbaijan;1994;female;55-74 years;5;456200;11;3,3137397;508;Silent
Azerbaijan;1994;female;75+ years;1;95800;104;3,3137397;508;G.I. Generation
Azerbaijan;1994;female;35-54 years;6;705400;85;3,3137397;508;Boomers
Azerbaijan;1994;female;25-34 years;4;686900;58;3,3137397;508;Boomers
Azerbaijan;1994;female;15-24 years;3;622200;48;3,3137397;508;Generation X
Azerbaijan;1994;male;25-34 years;3;638600;47;3,3137397;508;Boomers
Azerbaijan;1994;male;15-24 years;3;669100;45;3,3137397;508;Generation X
Azerbaijan;1994;female;5-14 years;0;774700;0;3,3137397;508;Millenials
Azerbaijan;1994;male;5-14 years;0;814500;0;3,3137397;508;Millenials
Azerbaijan;1995;male;75+ years;2;36600;546;3,0524675;462;G.I. Generation
Azerbaijan;1995;male;35-54 years;18;677600;266;3,0524675;462;Boomers
Azerbaijan;1995;male;55-74 years;8;377400;212;3,0524675;462;Silent
Azerbaijan;1995;male;15-24 years;9;663600;136;3,0524675;462;Generation X
Azerbaijan;1995;female;75+ years;1;95000;105;3,0524675;462;G.I. Generation
Azerbaijan;1995;male;25-34 years;5;642900;78;3,0524675;462;Generation X
Azerbaijan;1995;female;25-34 years;3;675100;44;3,0524675;462;Generation X
Azerbaijan;1995;female;35-54 years;3;733900;41;3,0524675;462;Boomers
Azerbaijan;1995;female;15-24 years;0;622300;0;3,0524675;462;Generation X
Azerbaijan;1995;female;5-14 years;0;788700;0;3,0524675;462;Millenials
Azerbaijan;1995;female;55-74 years;0;463500;0;3,0524675;462;Silent
Azerbaijan;1995;male;5-14 years;0;829300;0;3,0524675;462;Millenials
Azerbaijan;1996;male;55-74 years;19;383100;496;3,1767496;476;Silent
Azerbaijan;1996;female;75+ years;3;94800;316;3,1767496;476;G.I. Generation
Azerbaijan;1996;male;75+ years;1;36700;272;3,1767496;476;G.I. Generation
Azerbaijan;1996;male;35-54 years;14;693800;202;3,1767496;476;Boomers
Azerbaijan;1996;male;25-34 years;13;647200;201;3,1767496;476;Generation X
Azerbaijan;1996;male;15-24 years;9;664700;135;3,1767496;476;Generation X
Azerbaijan;1996;female;15-24 years;3;624900;48;3,1767496;476;Generation X
Azerbaijan;1996;female;55-74 years;2;467600;43;3,1767496;476;Silent
Azerbaijan;1996;female;35-54 years;3;751300;4;3,1767496;476;Boomers
Azerbaijan;1996;female;25-34 years;2;669400;3;3,1767496;476;Generation X
Azerbaijan;1996;female;5-14 years;0;796200;0;3,1767496;476;Millenials
Azerbaijan;1996;male;5-14 years;0;838400;0;3,1767496;476;Millenials
Azerbaijan;1997;male;55-74 years;24;386200;621;3,9627102;590;Silent
Azerbaijan;1997;male;35-54 years;34;698800;487;3,9627102;590;Boomers
Azerbaijan;1997;male;25-34 years;21;651900;322;3,9627102;590;Generation X
Azerbaijan;1997;female;35-54 years;8;755500;106;3,9627102;590;Boomers
Azerbaijan;1997;male;15-24 years;7;669400;105;3,9627102;590;Generation X
Azerbaijan;1997;female;15-24 years;6;628600;95;3,9627102;590;Generation X
Azerbaijan;1997;female;55-74 years;3;470100;64;3,9627102;590;Silent
Azerbaijan;1997;female;25-34 years;4;673000;59;3,9627102;590;Generation X
Azerbaijan;1997;female;5-14 years;0;800800;0;3,9627102;590;Millenials
Azerbaijan;1997;female;75+ years;0;95400;0;3,9627102;590;G.I. Generation
Azerbaijan;1997;male;5-14 years;0;844400;0;3,9627102;590;Millenials
Azerbaijan;1997;male;75+ years;0;37100;0;3,9627102;590;G.I. Generation
Azerbaijan;1998;male;35-54 years;18;732200;246;4,4463962;631;Boomers
Azerbaijan;1998;female;75+ years;2;96900;206;4,4463962;631;G.I. Generation
Azerbaijan;1998;male;55-74 years;8;403500;198;4,4463962;631;Silent
Azerbaijan;1998;male;25-34 years;12;683600;176;4,4463962;631;Generation X
Azerbaijan;1998;female;55-74 years;4;491600;81;4,4463962;631;Silent
Azerbaijan;1998;female;35-54 years;6;793900;76;4,4463962;631;Boomers
Azerbaijan;1998;female;15-24 years;3;662900;45;4,4463962;631;Generation X
Azerbaijan;1998;male;15-24 years;2;702100;28;4,4463962;631;Generation X
Azerbaijan;1998;male;5-14 years;1;886300;11;4,4463962;631;Millenials
Azerbaijan;1998;female;25-34 years;0;710000;0;4,4463962;631;Generation X
Azerbaijan;1998;female;5-14 years;0;844700;0;4,4463962;631;Millenials
Azerbaijan;1998;male;75+ years;0;36700;0;4,4463962;631;G.I. Generation
Azerbaijan;1999;male;35-54 years;19;737000;258;4,5812224;645;Boomers
Azerbaijan;1999;male;55-74 years;9;406100;222;4,5812224;645;Silent
Azerbaijan;1999;male;25-34 years;10;688200;145;4,5812224;645;Generation X
Azerbaijan;1999;male;15-24 years;6;706900;85;4,5812224;645;Generation X
Azerbaijan;1999;female;35-54 years;4;802500;5;4,5812224;645;Boomers
Azerbaijan;1999;female;55-74 years;2;497100;4;4,5812224;645;Silent
Azerbaijan;1999;female;15-24 years;2;670100;3;4,5812224;645;Generation X
Azerbaijan;1999;female;25-34 years;2;717700;28;4,5812224;645;Generation X
Azerbaijan;1999;female;5-14 years;0;853800;0;4,5812224;645;Millenials
Azerbaijan;1999;female;75+ years;0;97900;0;4,5812224;645;G.I. Generation
Azerbaijan;1999;male;5-14 years;0;892200;0;4,5812224;645;Millenials
Azerbaijan;1999;male;75+ years;0;36900;0;4,5812224;645;G.I. Generation
Azerbaijan;2000;male;75+ years;1;37950;264;5,2726172;711;G.I. Generation
Azerbaijan;2000;male;55-74 years;9;361300;249;5,2726172;711;Silent
Azerbaijan;2000;female;75+ years;2;83300;24;5,2726172;711;G.I. Generation
Azerbaijan;2000;male;25-34 years;11;607350;181;5,2726172;711;Generation X
Azerbaijan;2000;male;35-54 years;14;931050;15;5,2726172;711;Boomers
Azerbaijan;2000;male;15-24 years;11;736900;149;5,2726172;711;Generation X
Azerbaijan;2000;female;55-74 years;3;434150;69;5,2726172;711;Silent
Azerbaijan;2000;female;15-24 years;4;738550;54;5,2726172;711;Generation X
Azerbaijan;2000;female;25-34 years;3;677500;44;5,2726172;711;Generation X
Azerbaijan;2000;female;35-54 years;3;1000200;3;5,2726172;711;Boomers
Azerbaijan;2000;female;5-14 years;1;878950;11;5,2726172;711;Millenials
Azerbaijan;2000;male;5-14 years;0;928050;0;5,2726172;711;Millenials
Azerbaijan;2001;male;55-74 years;34;357250;952;5,7077204;759;Silent
Azerbaijan;2001;male;35-54 years;79;975300;81;5,7077204;759;Boomers
Azerbaijan;2001;male;15-24 years;56;766400;731;5,7077204;759;Millenials
Azerbaijan;2001;male;75+ years;3;41650;72;5,7077204;759;Silent
Azerbaijan;2001;female;75+ years;6;85900;698;5,7077204;759;Silent
Azerbaijan;2001;male;25-34 years;40;603150;663;5,7077204;759;Generation X
Azerbaijan;2001;female;55-74 years;21;431400;487;5,7077204;759;Silent
Azerbaijan;2001;female;25-34 years;23;669850;343;5,7077204;759;Generation X
Azerbaijan;2001;male;5-14 years;24;913150;263;5,7077204;759;Millenials
Azerbaijan;2001;female;35-54 years;16;1052500;152;5,7077204;759;Boomers
Azerbaijan;2001;female;15-24 years;8;759350;105;5,7077204;759;Millenials
Azerbaijan;2001;female;5-14 years;7;862100;81;5,7077204;759;Millenials
Azerbaijan;2002;male;55-74 years;19;357550;531;6,2357951;820;Silent
Azerbaijan;2002;male;75+ years;2;45600;439;6,2357951;820;Silent
Azerbaijan;2002;male;35-54 years;32;1011850;316;6,2357951;820;Boomers
Azerbaijan;2002;female;55-74 years;6;433050;139;6,2357951;820;Silent
Azerbaijan;2002;male;25-34 years;7;603300;116;6,2357951;820;Generation X
Azerbaijan;2002;male;15-24 years;9;795800;113;6,2357951;820;Millenials
Azerbaijan;2002;female;75+ years;1;89000;112;6,2357951;820;Silent
Azerbaijan;2002;female;35-54 years;8;1096350;73;6,2357951;820;Boomers
Azerbaijan;2002;female;25-34 years;3;666300;45;6,2357951;820;Generation X
Azerbaijan;2002;male;5-14 years;4;889500;45;6,2357951;820;Millenials
Azerbaijan;2002;female;15-24 years;1;781100;13;6,2357951;820;Millenials
Azerbaijan;2002;female;5-14 years;0;836300;0;6,2357951;820;Millenials
Azerbaijan;2003;male;75+ years;3;50900;589;7,2760130;948;Silent
Azerbaijan;2003;female;75+ years;4;94450;424;7,2760130;948;Silent
Azerbaijan;2003;male;55-74 years;14;359800;389;7,2760130;948;Silent
Azerbaijan;2003;male;35-54 years;40;1045100;383;7,2760130;948;Boomers
Azerbaijan;2003;male;15-24 years;17;823850;206;7,2760130;948;Millenials
Azerbaijan;2003;male;25-34 years;12;604700;198;7,2760130;948;Generation X
Azerbaijan;2003;female;55-74 years;7;435950;161;7,2760130;948;Silent
Azerbaijan;2003;female;15-24 years;9;802400;112;7,2760130;948;Millenials
Azerbaijan;2003;female;35-54 years;12;1137200;106;7,2760130;948;Boomers
Azerbaijan;2003;male;5-14 years;7;856250;82;7,2760130;948;Millenials
Azerbaijan;2003;female;25-34 years;3;663050;45;7,2760130;948;Generation X
Azerbaijan;2003;female;5-14 years;1;800750;12;7,2760130;948;Millenials
Azerbaijan;2004;female;75+ years;5;99600;502;8,6804722;1122;Silent
Azerbaijan;2004;male;35-54 years;40;1076600;372;8,6804722;1122;Boomers
